DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
177542,177542,MiniPAT,DS,14,0,0,59,59,09:50:40 03-Feb-2019,NP,3,-2.7679,-88.3895,-2.7679,-88.3895,58,,401677382,-122
177542,177542,MiniPAT,DS,11,0,2,65,59,10:57:43 03-Feb-2019,SR,3,-2.7838,-88.3878,-2.7838,-88.3878,58,,401677382,-127
177542,177542,MiniPAT,DS,12,0,1,59,59,11:32:57 03-Feb-2019,NP,3,-2.7930,-88.3921,-2.7930,-88.3921,58,,401677382,-127
177542,177542,MiniPAT,DS,12,0,0,65,59,12:14:10 03-Feb-2019,NK,3,-2.8012,-88.3990,-2.8012,-88.3990,58,,401677382,-123
177542,177542,MiniPAT,DS,12,0,1,65,59,12:33:02 03-Feb-2019,SR,3,-2.8069,-88.4008,-2.8069,-88.4008,56,,401677382,-124
177542,177542,MiniPAT,DS,8,0,2,60,59,13:35:15 03-Feb-2019,MA,1,-2.8240,-88.4037,-2.8240,-88.4037,58,,401677381,-126
177542,177542,MiniPAT,DS,12,0,1,75,59,13:49:40 03-Feb-2019,NN,3,-2.8270,-88.4064,-2.8270,-88.4064,58,,401677383,-123
177542,177542,MiniPAT,DS,8,0,2,59,59,13:59:05 03-Feb-2019,NK,2,-2.8260,-88.4070,-2.8260,-88.4070,56,,401677383,-128
177542,177542,MiniPAT,DS,8,0,2,68,59,14:05:34 03-Feb-2019,MC,2,-2.8282,-88.4090,-2.8282,-88.4090,56,,401677383,-120
177542,177542,MiniPAT,DS,6,0,6,144,59,14:38:49 03-Feb-2019,MB,2,-2.8364,-88.4119,-2.8364,-88.4119,58,,401677384,-130
177542,177542,MiniPAT,DS,15,0,1,59,59,15:08:13 03-Feb-2019,MA,2,-2.8466,-88.4125,-2.8466,-88.4125,56,,401677383,-120
177542,177542,MiniPAT,DS,9,0,0,59,59,15:34:26 03-Feb-2019,NN,3,-2.8510,-88.4163,-2.8510,-88.4163,56,,401677381,-127
177542,177542,MiniPAT,DS,13,0,0,64,59,15:43:20 03-Feb-2019,MC,3,-2.8552,-88.4165,-2.8552,-88.4165,56,,401677381,-118
177542,177542,MiniPAT,DS,7,0,4,99,59,16:18:35 03-Feb-2019,MB,3,-2.8639,-88.4212,-2.8639,-88.4212,58,,401677381,-130
