DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy,MobMean,MobSD,ActivitySum
177542,177542,0.500000,Transmission,MiniPAT,5,20:00:00 23-Dec-2018,22:00:00 23-Dec-2018,,,,0.0,0.00,11.0,0.00,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,6,22:00:00 23-Dec-2018,00:00:00 24-Dec-2018,,,,0.0,0.00,9.0,0.00,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,5,00:00:00 25-Dec-2018,02:00:00 25-Dec-2018,,,,0.0,0.00,2.5,0.00,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,4,02:00:00 25-Dec-2018,04:00:00 25-Dec-2018,,,,0.0,0.00,33.0,0.25,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,4,04:00:00 25-Dec-2018,06:00:00 25-Dec-2018,,,,0.0,0.00,12.0,0.00,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,5,06:00:00 25-Dec-2018,08:00:00 25-Dec-2018,,,,0.0,0.00,37.0,0.25,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,3,08:00:00 25-Dec-2018,10:00:00 25-Dec-2018,,,,0.0,0.00,5.5,0.00,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,2,10:00:00 25-Dec-2018,12:00:00 25-Dec-2018,,,,0.0,0.00,60.0,0.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,3,12:00:00 25-Dec-2018,14:00:00 25-Dec-2018,,,,0.0,0.00,62.0,0.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,3,14:00:00 25-Dec-2018,16:00:00 25-Dec-2018,,,,0.0,0.00,60.0,0.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,2,16:00:00 25-Dec-2018,18:00:00 25-Dec-2018,,,,23.0,0.00,72.0,0.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,4,18:00:00 25-Dec-2018,20:00:00 25-Dec-2018,,,,0.0,0.00,66.0,0.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,3,20:00:00 25-Dec-2018,22:00:00 25-Dec-2018,,,,22.5,0.00,51.0,0.25,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,5,22:00:00 25-Dec-2018,00:00:00 26-Dec-2018,,,,0.0,0.00,168.0,1.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,7,00:00:00 27-Dec-2018,02:00:00 27-Dec-2018,,,,0.0,0.00,35.0,0.25,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,7,02:00:00 27-Dec-2018,04:00:00 27-Dec-2018,,,,0.0,0.00,4.5,0.00,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,6,04:00:00 27-Dec-2018,06:00:00 27-Dec-2018,,,,0.0,0.00,19.0,0.00,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,7,06:00:00 27-Dec-2018,08:00:00 27-Dec-2018,,,,0.0,0.00,2.5,0.00,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,5,08:00:00 27-Dec-2018,10:00:00 27-Dec-2018,,,,0.0,0.00,33.0,0.25,,,,,,,
