DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
177542,177542,MiniPAT,23:42:08 09-Feb-2019,Argos,1,-3.8789,-88.2371,631,11210,35,102,,,,,,
177542,177542,MiniPAT,23:59:32 09-Feb-2019,Argos,3,-3.8829,-88.2327,140,167,116,51,,,,,,
177542,177542,MiniPAT,01:27:05 10-Feb-2019,Argos,A,-3.9045,-88.2398,908,2316,356,159,,,,,,
177542,177542,MiniPAT,01:31:32 10-Feb-2019,Argos,3,-3.8921,-88.2331,183,198,168,85,,,,,,
177542,177542,MiniPAT,01:44:22 10-Feb-2019,Argos,2,-3.8969,-88.2361,257,313,210,152,,,,,,
177542,177542,MiniPAT,01:50:57 10-Feb-2019,Argos,3,-3.8964,-88.2333,201,354,114,0,,,,,,
177542,177542,MiniPAT,03:02:30 10-Feb-2019,Argos,0,-3.8851,-88.3255,6068,49950,737,59,,,,,,
177542,177542,MiniPAT,03:06:42 10-Feb-2019,Argos,0,-3.9440,-88.2188,1564,4123,593,95,,,,,,
177542,177542,MiniPAT,03:34:41 10-Feb-2019,Argos,2,-3.9070,-88.2427,367,755,178,69,,,,,,
177542,177542,MiniPAT,04:01:15 10-Feb-2019,Argos,3,-3.9084,-88.2414,151,202,112,59,,,,,,
177542,177542,MiniPAT,04:34:05 10-Feb-2019,Argos,A,-3.9105,-88.2570,927,3841,223,106,,,,,,
177542,177542,MiniPAT,10:11:08 10-Feb-2019,Argos,3,-3.9760,-88.2390,239,1986,28,103,,,,,,
177542,177542,MiniPAT,10:40:01 10-Feb-2019,Argos,2,-3.9751,-88.2468,357,819,155,139,,,,,,
177542,177542,MiniPAT,11:03:56 10-Feb-2019,Argos,A,-3.9788,-88.2416,660,1733,251,21,,,,,,
177542,177542,MiniPAT,11:54:44 10-Feb-2019,Argos,2,-3.9959,-88.2469,467,1039,210,12,,,,,,
177542,177542,MiniPAT,12:13:38 10-Feb-2019,Argos,3,-3.9972,-88.2506,183,325,103,72,,,,,,
177542,177542,MiniPAT,12:34:02 10-Feb-2019,Argos,B,-4.0001,-88.2550,1332,2595,683,25,,,,,,
177542,177542,MiniPAT,12:38:28 10-Feb-2019,Argos,2,-4.0037,-88.2516,382,3527,41,102,,,,,,
177542,177542,MiniPAT,14:09:05 10-Feb-2019,Argos,0,-4.0240,-88.2681,3092,148641,64,103,,,,,,
177542,177542,MiniPAT,14:25:39 10-Feb-2019,Argos,3,-4.0280,-88.2657,185,274,125,97,,,,,,
177542,177542,MiniPAT,15:00:49 10-Feb-2019,Argos,3,-4.0363,-88.2698,152,398,57,91,,,,,,
177542,177542,MiniPAT,15:33:54 10-Feb-2019,Argos,3,-4.0454,-88.2697,229,580,90,96,,,,,,
177542,177542,MiniPAT,15:55:58 10-Feb-2019,Argos,A,-4.0455,-88.2657,1177,1835,754,7,,,,,,
177542,177542,MiniPAT,16:10:56 10-Feb-2019,Argos,2,-4.0512,-88.2719,344,624,189,13,,,,,,
177542,177542,MiniPAT,16:47:48 10-Feb-2019,Argos,1,-4.0603,-88.2747,906,2511,326,176,,,,,,
177542,177542,MiniPAT,21:21:08 10-Feb-2019,Argos,2,-4.1138,-88.3056,321,517,199,164,,,,,,
177542,177542,MiniPAT,22:54:27 10-Feb-2019,Argos,3,-4.1497,-88.3271,209,386,113,73,,,,,,
177542,177542,MiniPAT,23:12:36 10-Feb-2019,Argos,3,-4.1538,-88.3283,138,203,93,95,,,,,,
177542,177542,MiniPAT,23:42:01 10-Feb-2019,Argos,3,-4.1637,-88.3280,233,376,143,19,,,,,,
177542,177542,MiniPAT,00:50:21 11-Feb-2019,Argos,3,-4.1888,-88.3441,216,289,160,2,,,,,,
177542,177542,MiniPAT,01:12:49 11-Feb-2019,Argos,2,-4.1915,-88.3476,352,404,306,169,,,,,,
177542,177542,MiniPAT,01:15:33 11-Feb-2019,Argos,3,-4.1919,-88.3482,167,237,117,71,,,,,,
177542,177542,MiniPAT,02:05:19 11-Feb-2019,Argos,1,-4.2088,-88.3520,586,1252,274,173,,,,,,
177542,177542,MiniPAT,02:39:48 11-Feb-2019,Argos,A,-4.2180,-88.3633,525,2435,113,175,,,,,,
177542,177542,MiniPAT,02:59:21 11-Feb-2019,Argos,3,-4.2234,-88.3678,226,338,150,97,,,,,,
177542,177542,MiniPAT,03:00:51 11-Feb-2019,Argos,B,-4.2235,-88.3680,587,630,545,71,,,,,,
