DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
177542,177542,0.500000,MiniPAT,2.04u,03:32:25 08-Feb-2019,03:32:34 08-Feb-2019,9,2,-3.4366,-88.1946,CRC,,,1,18112,3.184,2.622,0.205,27.60,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,15:16:08 08-Feb-2019,15:16:17 08-Feb-2019,9,2,-3.4988,-88.2120,CRC,,,1,18752,3.398,2.622,0.137,27.55,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,00:18:50 09-Feb-2019,00:18:59 09-Feb-2019,9,3,-3.6256,-88.2508,CRC,,,1,19392,3.320,2.622,0.161,28.15,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,01:42:18 09-Feb-2019,01:42:28 09-Feb-2019,10,3,-3.6450,-88.2573,CRC,,,1,19392,3.242,2.622,0.200,27.85,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,12:47:00 09-Feb-2019,12:47:10 09-Feb-2019,10,3,-3.7464,-88.2538,CRC,,,1,20032,3.281,2.622,0.195,27.65,-2.0,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,13:07:55 09-Feb-2019,13:08:05 09-Feb-2019,10,3,-3.7555,-88.2547,CRC,,,1,20032,3.301,2.622,0.181,27.65,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,23:13:36 09-Feb-2019,23:13:46 09-Feb-2019,10,3,-3.8742,-88.2322,CRC,,,1,20672,3.223,2.622,0.156,28.20,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,11:58:05 10-Feb-2019,11:58:14 10-Feb-2019,9,2,-3.9959,-88.2469,CRC,,,1,21440,3.184,2.622,0.171,27.70,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,12:18:58 10-Feb-2019,12:19:07 10-Feb-2019,9,3,-3.9972,-88.2506,CRC,,,1,21440,3.184,2.622,0.176,27.70,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,12:39:48 10-Feb-2019,12:39:58 10-Feb-2019,10,2,-4.0037,-88.2516,CRC,,,1,21440,3.125,2.622,0.205,27.70,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
